razon_social,nombre_corto,rut,contacto_y_direccion,comuna,telefonos,correo_principal,correos_adicionales,categoria,resolucion
P Y P ADMINISTRACIÓN Y GESTIÓN INMOBILIARIA SPA,P Y P SERVICIOS SPA,76.444.402-7,"Miguel Pino Herrera Balmaceda N°395, Of 32",Puente Alto,229041541 / 959760998,mpinoh@pypservicios.cl,,TERCERA,813 / 06-07-2021
ALICURA SPA,,77.339.175-0,Francisca Rojas Ruiz Hijuela N°1 Sector El Prado,San Pedro,974789646,atec.egr@gmail.com,,TERCERA,810 / 08-07-2021
PSAT BORDE SUR SPA,,77.246.234-4,Esthefanie Briones Calle Islandia N°871,San Miguel,944396869,psatbordesur@gmail.com,,TERCERA,760 / 29-06-2021
CONSULTORA VIVIENDA Y ENTORNO SPA,,77.001.352-6,Humberto Alarcón Borquez Calle Tongoy N°0222,Puente Alto,976704004,cviviendaentornospa@gmail.com,,TERCERA,757 / 25-06-2021
DUAL ESTUDIO GESTIÓN INMOBILIARIA TÉCNICO SOCIAL SpA (Ex Estudios EJ),DUAL ESTUDIOS SPA,76.830.004-6,Evelyn Catalán Barros Perez Valenzuela N°1098 Of 39,Providencia,977060384,administracion@dualestudio.cl,e.catalan@dualestudio.cl,SEGUNDA,761 / 29-06-2021
INMOBILIARIA SOCIAL VIVE SPA,,77.279.991-8,Hector Daniel Arias Cordova Calle Doctor Torres Boonen N°737,Providencia,228977348,contacto@vivesocial.cl,danielariasc@gmail.com / daniel.arias@vivesocial.cl,TERCERA,845 / 19-07-2021
INMOBILIARIA CONVIVE LIMITADA,,77.171.412-9,"Romina Canessa Avda. Providencia N°1939, Oficina 43",Providencia,983410786 / 983610114 / 223180041,r.canessa@iconvive.cl,contacto@iconvive.cl,TERCERA,953 / 10-08-2021
CONSULTORA PANUL SPA,,77.234.511-9,Romina Sandoval Cerda El Pinar N°205 Of. 05,San Joaquín,982015040 / 236872798,ep.consultorapanul@gmail.com,consultorapanul@gmail.com,TERCERA,968 / 16-08-2021
PSAT IMAGINA E.I.R.L.,,77.180.372-5,"Elsa Baeza Elizondo Los Cancilleres N°1670, Depto 24 E",Maipu,957118175 / 2340741040,psat.imagina@gmail.com,,TERCERA,1117 / 10-09-2021
MUNICIPALIDAD DE LA CISTERNA,,69.072.000-0,Irma Perez Calle Pedro Aguirre Cerda N°161,La Cisterna,225407500,ccabrera@cisterna.cl,gina_phg@hotmail.com / alcaldia@cisterna.cl,ÚNICA,416 / 19-04-2021
ASESORÍA Y GESTIÓN INMOBILIARIA RAIQUÉN SPA,RAIQUEN SPA,77.329.886-6,José Curellanca Torres Teniente Luis Cruz Martinez N°12311,La Pintana,227923582,psat.raiquenspa@gmail.com,,TERCERA,1363 / 29-10-2021
ARQUITECTURA SOCIAL SPA,,77.405.965-2,Yasna Sandoval Castro Manuel Rodriguez N°1695-G Of 4,Maipu,932689188 / 999166789,prestadorasistenciatecnica@gmail.com,ysandovalcastro@hotmail.com,TERCERA,133 / 04-02-2022
ARQUITECTURA Y CONSTRUCCIÓN CÁCERES SPA,A&C CÁCERES SPA,77.226.691-K,Pablo Felipe Caceres Paredes Avda. José Pedro Alessandri N°1.495 Depto. 209 A,Ñuñoa,226079403 / 955380228,ayccaceres@gmail.com,ayccep@gmail.com,TERCERA,1 / 04-01-2022
ENTIDAD DE GESTIÓN INMOBILIARIA SOCIAL Y PRESTADORA DE SERVICIOS DE ASISTENCIA TECNICA Y DE GESTIÓN ESPACIO VERDE SPA,GESTIÓN INMOBILIARIA SOCIAL ESPACIO VERDE SPA,77.359.672-7,Lionel Rubio Aceituno Avenida Panama N° 9289,La Florida,933282870 / 942071995 / 994726149,olavecerda2464@gmail.com,,TERCERA,81 / 31-01-2022
EP PROYECTA HOGAR SPA,,77.308.493-9,Katherine Mutis Los Nogales N°2735 (Entrada Por Calle Parque),La Pintana,998856278 / 975930754,proyectahogarsantiago@gmail.com,kmutis.proyectahogar@gmail.com,TERCERA,223 / 28-02-2022
ENTIDAD PATROCINANTE LIBERTAD LIMITADA,,77.200.894-K,Rodrigo Urquiola Soriano Libertad N°217,Melipilla,958710657,rodrigo.urquiola.s@gmail.com,entidadpatrocinantelibertad@gmail.com,TERCERA,408 / 22-06-2022
ENTIDAD PATROCINANTE PEUMAYEN SPA,,77.501.265-K,Carolina Marin Navarrete Camino Bajo De Santa Cruz N°245,Padre Hurtado,965499716 / 944357174,eppeumayen@gmail.com,trabajosocialpeumayen@gmail.com / contactoeppeumayen@gmail.com,TERCERA,404 / 22-06-2022
MUNICIPALIDAD DE PUDAHUEL,,69.071.100-1,Marcela Silva Smith Avda. San Pablo N°8444,Pudahuel,224407391 / 993096989,entidadpatrocinante@mpudahuel.cl,italobravo@mpudahuel.cl,ÚNICA,411 / 23-06-2022
SUNDARA SpA.,,77.481.419-1,Esteban Pasache Soto Avda. Sotero Del Río N°1191,La Florida,972012965 / 999791350,daniela@atsundara.cl,,TERCERA,494 / 04-07-2022
P Y P MEJORANDO EL FUTURO SpA.,,77.456.156-0,"Miguel Angel Pino Herrera Balmaceda N°395, Of 32",Puente Alto,959760998,mpinoh@pypfuturo.cl,,TERCERA,498 / 04-07-2022
CONSTRUCTORA SALAS VENEGAS SpA.,,77.086.713-4,"Friney Venegas Venegas Ahumada N° 312, Of 326",Santiago,232565662 / 995797570 / 995797515,svcontratista@gmail.com,,TERCERA,499 / 04-07-2022
ENTIDAD PATROCINANTE LINCOPÍ LIMITADA,,77.480.826-4,Eloida Quintriqueo Lincopi Juan Ortiz Acevedo N°600,Paine,997107814,entidadpatrocinantelincopi@gmail.com,,TERCERA,501 / 04-07-2022
HABITAR PROGRESIVO SPA,,77.445.134-K,Gonzalo Astudillo Arias Calle Buzeta N°2082 Of 82,Estación Central,977018183,habitarprogresivo@gmail.com,,TERCERA,714 / 01-09-2022
EMPRESA DE DESARROLLO Y ORGANIZACIÓN SOCIAL CRECER LIMITADA,CRECER LIMITADA,77.525.879-9,Elisa Casanueva Alonso De Ercilla N°1306,La Florida,722699802,e.desarrolloygestion.sc@gmail.com,,TERCERA,750 / 01-09-2022
ASESORÍAS APOLO SPA,,77.518.036-6,Francisca Castillo Oliva Y Sebastian Jopia Sanchez Avda. Providencia N°223,Providencia,963085267,jbalich@juntoalbarrio.cl,,TERCERA,754 / 01-09-2022
MUNICIPALIDAD DE LAMPA,,69.071.400-0,Alejandra Huerta Cornejo Sargento Aldea N°840,Lampa,962812553,angel.duran@lampa.cl,paola.acevedo@lampa.cl / mjosem1998@gmail.com,ÚNICA,827 / 09-09-2022
FUNDACION ALCANZABLE,,65.200.331-1,Pia Mora Avda. Suecia N°0142 Piso 2 Of. 10,Providencia,976499299,piamora@alcanzable.cl,,TERCERA,1457 / 13-12-2022
ENTIDAD PATROCINANTE HILEN SPA,,77.493.779-K,Sebastian Escudero Contreras Calle Colonial N°11803,El Bosque,996413237,hilenspa@gmail.com,,TERCERA,545 / 26-12-2022
GESTOR LOCAL SPA,,77.547.218-9,Aylen Barrios Montero Huerfanos N°1160 Of. 406,Santiago,967384086,gestor.local.spa@gmail.com,,TERCERA,546 / 26-12-2022
2.0 EP SPA,,77.468.167-1,Ximena Leon Gaule Avda. Ossa N°180 Depto. B,Ñuñoa,224011643,xleon@proactiva-chile.cl,,TERCERA,547 / 26-12-2022
I.MUNICIPALIDAD DE SAN JOAQUIN,,69.254.600-8,Katherine Ponce / Valentina Bau Avda. Santa Rosa N°2606 Piso 2,San Joaquin,998731723,valentinabau@sanjoaquin.cl,,ÚNICA,239 / 13-03-2023
ENTIDAD PATROCINANTE VANIA SALOME QUINTANILLA MORA E.I.R.L.,VAAM E.I.R.L.,77.674.211-2,Vania Quintanilla / Adela Mora Viña Pomaire Parcela 1,Melipilla,956560099 / 998654969,vaam.entidad@gmail.com,adela-mora@hotmail.com / vania.s.q.m.1994@gmail.com,TERCERA,853 / 04-07-2023
ENTIDAD PATROCINANTE Y CONSULTORA INMOBILIARIA ALWE SPA,,77.645.832-5,Pamela Sanhueza Calle Carmencita N°245-A,Las Condes,23321747675 / 956735189 / 994272740,contacto@alwe.cl,czannier@alwe.cl,TERCERA,1135 / 24-08-2023
SIMETRICA SPA,,77.645.937-2,Francisca Cancino Contreras Diagonal Paraguay N°481 Oficina 107,Santiago,948830431,simetrica.ep@gmail.com,,TERCERA,1631 / 28-11-2023
CONSTRUCTORA HABITARE ESTADO SPA,,77.687.659-3,Marcelo Moya Nicolas Cruz Lyon 1259 Casa D,Providencia,987863702 / 953722427,mmoya@constructorahabitare.cl,,TERCERA,1865 / 28-12-2023
ENTIDAD PATROCINANTE INMOBILIARIA SALFA AUSTRAL LIMITADA,,96.610.790-1,Viviana Fritz Rebolledo/ Cristobal Vicuña Ahumada N°341 Piso 6,Santiago,948024949 / 97979736,vfritz@salfaustral.cl,cviunad@salfaustral.cl,PRIMERA,272 / 08-03-2024
ASESORÍAS HABITACIONALES FABIOLA ALVAREZ E.I.R.L.,,77.843.609-4,Fabiola Alvarez Beltran Los Pinos N°9235 Depto. 21,La Florida,992342434,asesorias.habitacionalesfa@gmail.com,,TERCERA,394 / 03-04-2024
SERVICIOS Y ASESORIAS INMOBILIARIAS Y HABITACIONALES CENTRO LIMITADA,,76.972.118-5,Miguel Ibaceta Serrano N°73 Oficina 514 A-B,Santiago,227599012,epcentrorm@gmail.com,epcentroltda@gmail.com / miguel.ibacetat@gmail.com,TERCERA,448 / 11-04-2024
CHILE VIVIENDA SPA,,76.771.302-9,Alfredo Reyes Augusto Leguia Sur N°79 Oficina 1801,Las Condes,942510918,felipereyes@nidosur.cl,emylizama@gmail.com,TERCERA,449 / 11-04-2024
HOGAR MEJOR EGIS FUNDACION,,65.209.947-5,Alejandra Fuentes Bulnes N°197 Oficina 3,Santiago,932794681,f.hogarmejor@gmail.com,,PRIMERA,450 / 11-04-2024
ENTIDAD PATROCINANTE ASESORIAS TECSO LIMITADA,,77.761.477-0,Brian Torres Calle Panamá N°7295,La Florida,950992077 / 224165914,asesorias.tecso@gmail.com,,TERCERA,788 / 18-06-2024
ILUSTRE MUNICPALIDAD DE LAS CONDES,,69.070.400-5,Michael Comber Avda. Apoquindo N°9070,Las Condes,229508457,mcomber@lascondes.cl,,ÚNICA,981 / 17-07-2024
ENTIDAD PATROCINANTE JUNTOS SPA,,77.666.992-K,"Francisco Beffermann Alcantara N°200, Of.1102",Las Condes,978567502 / 992782962,solange.lobos@isiete.cl,francisco.beffermann@isiete.cl,PRIMERA,1265 / 22-08-2024
ILUSTRE MUNICPALIDAD DE CALERA DE TANGO,,69.072.800-1,Andrea Rojas Isabel Galvez Avda. Calera De Tango N°345,Calera De Tango,228108940 / 228108987,arojas@caleradetango.net,igalvez@caleradetango.net,ÚNICA,1211 / 20-08-2024
CONSTRUCTORA LAUQUÉN SPA,,76.403.409-0,Cristian Pablo Lasch Cea Calle Montenegro N°936-A,Ñuñoa,971256660,lauquen.clasch@gmail.com,,TERCERA,1343 / 02-09-2024
SOCIEDAD DE PROFESIONALES ARQUITECTOS SOLAN LIMITADA,,77.783.755-9,Evelyn Maeva Catalán Barros Calle Perez Valenzuela N°1098 Oficina 39,Providencia,932324408 / 977060384,sociedad.solan@gmail.com,solan.metropolitana@dualestudio.cl,SEGUNDA,1589 / 02-10-2024
ENTIDAD PATROCINANTE PLANING SPA,,78.475.080-9,"Rocío Gomez Avda. Apoquindo N°6410, Oficina 404",Las Condes,229935712,contacto@planing.cl,,PRIMERA,1735 / 15-10-2024
BAIT CONSULTORES LIMITADA,,77.948.811-K,Román Yosif Capdeville Avda. Las Condes N°7700 Oficina,Las Condes,10061007 / 999910265 / 998716084,contacto@baitconsultores.com,ryosif@gmail.com,PRIMERA,2064 / 03-12-2024
ENTIDAD PATROCINANTE VIAS LIMITADA,,77.919.796-4,"Catalina Acuña Ruz Calle Román Díaz N° 205, Oficina 601",Providencia,994316764,catalina.acuna@masvivienda.cl,,TERCERA,88 / 14-01-2025
FUNDACIÓN RUKAWE,,65.219.356-0,Cristobal Tomé Serra Calle Agustinas N°2384,Santiago,991978471 / 959225277,ctome@fundacionrukawe.cl,,TERCERA,115 / 20-01-2025
GESTIÓN GALAZ Y VENEGAS LIMITADA,,77.831.278-6,Miguel Galaz Friney Venegas Venegas Calle Ahumada N°312 Of 326,Santiago,988082296,friney@gmail.com,,TERCERA,105 / 16-01-2025
INGENIERÍA Y CONSTRUCCIÓN NEPAL SPA,,77.507.479-5,Pedro Oróstica Marín Calle Estado N°42 Oficina 410,Santiago,994343204,pedro.orostica.m@gmail.com,ingenieriayconstruccionnepal@gmail.com,TERCERA,116 / 20-01-2025
TORSAN ASOCIADOS LIMITADA,,77.916.765-8,"Diana Morales Lema Avda. Irarrazaval N°2821, Oficina 1005",Ñuñoa,226895455,torsanasociados@gmail.com,,TERCERA,114 / 20-01-2025
OSCAR OSVALDO MANQUILEF PARRA,,9.666.062-6,Oscar Osvaldo Manquilef Parra Digonal Paraguay N 481 Of. 81,Santiago,997431823,omanquilefparra@gmail.com,,TERCERA,315 / 07-02-2025
LBA EMPRESA DE INGENIERIA CIVIL SPA,,77.321.224-4,"Claudia Valenzuela Rojas Los Militares N° 5001, Of 602",Las Condes,963293409,lbaingenieriacivil@gmail.com,,TERCERA,316 / 07-02-2025
SOCIEDAD DE ASESORÍA RUKAPEWMA LIMITADA,,76.887.130-2,"Carina Alejandra Cid Vidal Serrano N°73, Oficina 305",Santiago,984281231,rukapewma@rukapewma.cl,,PRIMERA,892 / 14-04-2025
ENTIDAD PATROCINANTE NUESTRA CASA SPA,,77.938.324-5,"Favio Salguero Wendy Diaz Paseo Estado N°115, Oficina 706",Santiago,224616259,wdm@epnuestracasa.cl,,TERCERA,1304 / 26-05-2025
ENTIDAD PATROCINANTE CONECTANDO ARQUITECTURA Y GESTIÓN SOCIAL LIMITADA,,78.008.956-3,"Nadia Troncoso Jara Y Karen Canales Herrera Calle Mateo De Toro Y Zambrano N°1491, Oficinas 417 Y 418",La Reina,939243166,contacto@conectaep.cl,kcanales@conectaep.cl,TERCERA,1347 / 04-06-2025
CONSTRUCTORA Y ENTIDAD PATROCINANTE SANTOR LIMITADA,,77.761.643-9,Juan Manuel Torres Vivero Rolando Patricio Sanhueza Cifuentes Calle Emiliano Zapata N°1030,Recoleta,94325223 / 978453000,c.arancibiaurza@gmail.com,jtorres@uc.cl,TERCERA,1458 / 23-06-2025
ENTIDAD PATROCINANTE NEO_CITÉ SPA,,78.128.899-3,José Sánchez Diéguez Calle Los Queltehues N°3260,Colina,994690075,ivan.theoduloz@neo-cite.cl,jose.sanchez@neo-cite.cl / jsd@tie.cl,TERCERA,1460 / 23-06-2025
ENTIDAD PATROCINANTE PROGRESA SPA,,78.118.354-7,Valeska Lagos Calle Jaromir Pridal N°316-A,Peñaflor,224619456,contacto@entidadprogresa.com,,TERCERA,1936 / 05-09-2025
ENTIDAD PATROCINANTE ESPACIO TRANSFORMA SPA,,78.061.476-5,Consuelo Orellana Gajardo Calle Enrique Gomez Correa N°5750 - Oficina 6,Macul,993447651,contacto@espaciotransforma.cl,,TERCERA,1987 / 22-09-2025
ENTIDAD DE GESTIÓN INMOBILIARIA SOCIAL LOUTA SPA,,78.122.911-3,Maria Daniela Carrillo Mendoza Calle Pedro Ramírez N°1350,Puente Alto,977979451 / 934179265,louta.egis@gmail.com,,TERCERA,2002 / 25-09-2025
ENTIDAD PATROCINANTE FONDO SOCIAL SPA,,78.137.081-9,"Daniela Astorga; Ignacio Contreras Calle San Ignacio De Loyola N°177, Oficina 05",Santiago,932898511,fondosocialspa@gmail.com,,TERCERA,2169 / 16-10-2025
ENTIDAD PATROCINANTE PROSOCIAL ASESORÍA Y GESTIÓN SPA,,78.165.619-4,Cynthia Pereira Guzman Calle Guardia Vieja N°202,Providencia,937772586,prosocial.spa@gmail.com,,TERCERA,2195 / 20-10-2025
CV GESTIÓN INMOBILIARIA SPA,,76.852.664-8,Francisco Hernandez Ibarra Calle Jaromir Pridal N°316-A,Peñaflor,945708812,cv.entidad.patrocinante@gmail.com,,TERCERA,2394 / 14-11-2025
EMPRENDE SPA,,78.181.048-7,Carlos Muñoz Gallardi Calle Jaromir Pridal N°316-A,Peñaflor,224619456,carlos.entidad.emprende@gmail.com,,PRIMERA,2393 / 14-11-2025
INMOBILIARIA G21 LIMITADA,,78.155.375-1,Fernanda Mella Lara Calle Vicente Valdes N°87 Oficina 904,La Florida,934306564,mmendez@consultoraidentidades.cl,,PRIMERA,297 / 04-03-2026
2D PROTEC LIMITADA,,78.128.327-4,Rafael Andrés De La Rivera Zárate Calle Antonio Bellet N°193,Providencia,966493640,dvasquez@grupodelarivera.cl,,TERCERA,291 / 04-03-2026
ENTIDAD ORGANIZADORA Y CONSULTORA HABITACIONAL MIRAFLORES DOS SPA,,78.216.739-1,"Aline Natalia Meyer Sironvalle Calle Diagonal Paraguay N°481, Oficina 44",Santiago,229297824,ameyer@constructoracasahogar.cl,,TERCERA,362 / 13-03-2026
EPICA SOCIAL,,78.079.607-3,"Carina Cid Vidal Juan Pablo Eyzaguirre Claro Calle Serrano N°73, Oficina N°305",Santiago,984281231,caricid@epicasocial.cl,,PRIMERA,317 / 05-03-2026
I.MUNICIPALIDAD DE CERRILLOS,,69.255.000-5,Johnny Hernan Yañez Díaz Calle Las Hortensias N°300,Cerrillos,233278142 / 233278144 / 950060612,maravena@mcerrillos.cl,viviendacerrillos@gmail.com,ÚNICA,414 / 25-03-2026
I.MUNICIPALIDAD DE QUINTA NORMAL,,69.071.000-5,Karina Andrea Delfino Mussa Avda. Carrascal,Quinta Normal,994744130 / 972162005 / 228928800,hellen.iturra@quintanormal.cl,,ÚNICA,720 / 22-05-2026
CASA NUEVA SPA,,78.168.166-0,"Felipe Andres Villaseñor Barreda Calle Huérfanos N°1160, Oficina 1101",Santiago,932642440,felipe@casa-nueva.cl,,TERCERA,721 / 22-05-2026
INMOBILIARIA SOCIAL MODELO LIMITADA,,76.149.336-1,"Iván Alejandro Pozo Lobos Calle Carmen N°8, Piso 2, Oficina 6",Santiago,994736966,contacto@epmodelo.cl,vladimir@epmodelo.cl,SEGUNDA,722 / 22-05-2026
DUO ALIANZA GESTIÓN INMOBILIARIA SPA,,78.319.119-9,"Paz Catalina Cárdenas Muñoz Calle Nueva Tajamar N°481, Oficina 303",Las Condes,999132844,duoalianzaep@gmail.com,vivienda@munisantacruz.cl / barbara.caceres@msanvicente.cl / majelazamora@requinoa.cl / entidadpatrocinante@requinoa.cl / greyes@munirengo.cl / ameneses@munirengo.cl / entidad.patrocinante@munirancagua.gob.cl / rt.entidadpatrocinante@munirancagua.gob.cl / secvivienda.dideco@munirancagua.gob.cl / oficinaviviendaquinta@gmail.com / gabrielalopezdiaz6@gmail.com / egis@municipalidadplacilla.cl / alexandra.leon@muniplacilla.cl / catalina.caroca@muniplacilla.cl / egis@pichilemu.cl / mivonnemolina@gmail.com / cceron@muniperalillo.cl / arnaldoret@gmail.com / entidadpatrocinante@muniperalillo.cl / isabel.salinas.t@gmail.com / vivienda@comunaparedones.cl / egispalmilla@gmail.com / viviendamunipalmilla@gmail.com / ricardo.paillan@munipalmilla.cl / cmondaca@mostazal.cl / egis@munimarchigue.cl / vivienda@munimarchigue.cl / egis@machali.cl / vivienda@munilolol.cl / alejandro.mendoza@munilaestrella.cl / vivienda@coltauco.cl / cmunoz@coltauco.cl / vivienda@municipalidadchimbarongo.com / entidad.p@municipalidadchepica.cl / vivienda.pichidegua@gmail.com / victorjara@pichidegua.cl / dhenriquez@mdonihue.cl / vivienda@lascabrasmunicipalidad.cl / claudiatiznado@gmail.com / beatriz.valenzuela.vantreek@gmail.com / consultora.vtl.eirl@gmail.com / consultorafenixeirl@gmail.com / mitzyseguelortiz@gmail.com / dletelier.cruzero@gmail.com / juansuter@gmail.com / jose.suter@gmail.com / vientodelsurfacturas@gmail.com / j.elicer@insoc.cl / a.ibarra@insoc.cl / carlos.urzua@inmobiliariaurzua.cl / teresa.jiron@inmobiliariaurzua.cl / andinalimitada01@gmail.com / contacto@maval.cl / evargas@maval.cl / umbralarquitectura.ep@gmail.com / ep.inmobiliaria.imb@gmail.com / sociedad.m.m@gmail.com / catalina.bass@eprancagua.com / daniel.guerrero@eprancagua.com / consuelo.lopez@eprancagua.cl / constructora@vipalco.cl / holmosm@vipalco.cl / lurrutia@concrecasa.cl / pduarte@concrecasa.cl / carolina.abarcat@gmail.com / espacio21.spa@gmail.com / oval@constructoraoval.cl / socialrancagua@constructoraoval.cl / epdomus@gmail.com / egiszimenta@gmail.com / elias.hernandez@acotaestudio.cl / gestionrhakin@gmail.com / gestionesyasesoriaspv@gmail.com / proyectossebal@gmail.com / pbustamante@gespros.cl / coordinador@iecology.cl / eminder@constructoralaunion.cl / nidia.pavez@gmail.com / abaco.paulatapia@gmail.com / gfranco@grupo841.cl / sociedad.solan@gmail.com / solan.rancagua@dualestudio.cl / patricio.valenzuela@ingenieriaorigen.cl / mjmaturana@juntoalbarrio.cl / consultoraconoeste@gmail.com / eprenacerltda@gmail.com / francisco.beffermann@isiete.cl / miguel.galvezs@gmail.com / consultorarenacer@maval.cl / evargas@uc.cl / ecoprovirengo@gmail.com / gesrionfacilspa@gestionafacil.cl / atr.gestionfacil@gmail.com / gestionafacilspa@gmail.com / contacto@gestionql.cl / descobar@gestionql.cl / entidadpatrocinante@munisanfernando.com / gestioneshogarmejor@gmail.com / rdastudio22@gmail.com / vheran@masvivienda.cl / catalina.acuna@masvivienda.cl / ssepulveda@masvivienda.cl / ep@paviep.cl / allendes.epa@gmail.com / 4canelos@gmail.com / pamela.soto@4canelos.cl / contacto@epbrotar.cl / cnunezabarca@gmail.com / csanhueza@alamoep.cl / caricid@epicasocial.cl / jpeyzaguirre@epicasocial.cl / entidadarquetipo@gmail.com / rzannier@udd.cl / egis.viviendayfamilia@gmail.com,TERCERA,354 / 22-05-2026
